detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp	date	time
878066	23208	54319	37	5,4	0	2022-07-13 08:45:45.157	2022-07-13	08:45:45
878067	23208	54319	37	5,41	0	2022-07-13 08:45:45.170	2022-07-13	08:45:45
878068	23208	54319	37	5,39	0	2022-07-13 08:45:45.170	2022-07-13	08:45:45
878069	23208	54319	37	5,37	0	2022-07-13 08:45:45.187	2022-07-13	08:45:45
878070	23208	54319	37	5,4	0	2022-07-13 08:45:45.187	2022-07-13	08:45:45
878071	23208	54319	37	5,42	0	2022-07-13 08:45:45.407	2022-07-13	08:45:45
878072	23208	54319	37	5,39	1	2022-07-13 08:45:45.420	2022-07-13	08:45:45
878073	23208	54319	37	7,35	1	2022-07-13 08:45:45.420	2022-07-13	08:45:45
878074	23208	54319	37	5,41	1	2022-07-13 08:45:45.437	2022-07-13	08:45:45
878075	23208	54319	37	5,35	1	2022-07-13 08:45:45.437	2022-07-13	08:45:45
878076	23208	54319	38	10,42	1	2022-07-13 08:45:45.453	2022-07-13	08:45:45
878077	23208	54319	37	11,5	0	2022-07-13 08:45:45.670	2022-07-13	08:45:45
878078	23208	54319	38	11,7	1	2022-07-13 08:45:45.687	2022-07-13	08:45:45
878079	23208	54319	37	11,68	0	2022-07-13 08:45:48.373	2022-07-13	08:45:48
878081	23208	54319	37	11,68	0	2022-07-13 08:45:53.390	2022-07-13	08:45:53
878082	23208	54319	36	11,67	0	2022-07-13 08:45:58.437	2022-07-13	08:45:58
878083	23208	54319	37	11,69	1	2022-07-13 08:46:08.470	2022-07-13	08:46:08
878084	23208	54319	37	11,68	1	2022-07-13 08:46:08.970	2022-07-13	08:46:08
878085	23208	54319	38	11,52	1	2022-07-13 08:46:13.530	2022-07-13	08:46:13
878086	23208	54319	37	8,8	1	2022-07-13 08:46:18.547	2022-07-13	08:46:18
878087	23208	54319	37	5,62	1	2022-07-13 08:46:23.547	2022-07-13	08:46:23
878088	23208	54319	37	4,19	1	2022-07-13 08:46:28.580	2022-07-13	08:46:28
878089	23208	54319	37	4,18	1	2022-07-13 08:46:33.593	2022-07-13	08:46:33
