detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp
878066	23208	54319	37	5,4	0	2022-07-13 08:45:45.157
878067	23208	54319	37	5,41	0	2022-07-13 08:45:45.170
878068	23208	54319	37	5,39	0	2022-07-13 08:45:45.170
878069	23208	54319	37	5,37	0	2022-07-13 08:45:45.187
878070	23208	54319	37	5,4	0	2022-07-13 08:45:45.187
878071	23208	54319	37	5,42	0	2022-07-13 08:45:45.407
878072	23208	54319	37	5,39	1	2022-07-13 08:45:45.420
878073	23208	54319	37	7,35	1	2022-07-13 08:45:45.420
878074	23208	54319	37	5,41	1	2022-07-13 08:45:45.437
878075	23208	54319	37	5,35	1	2022-07-13 08:45:45.437
878076	23208	54319	38	10,42	1	2022-07-13 08:45:45.453
878077	23208	54319	37	11,5	0	2022-07-13 08:45:45.670
878078	23208	54319	38	11,7	1	2022-07-13 08:45:45.687
878079	23208	54319	37	11,68	0	2022-07-13 08:45:48.373
878081	23208	54319	37	11,68	0	2022-07-13 08:45:53.390
878082	23208	54319	36	11,67	0	2022-07-13 08:45:58.437
878083	23208	54319	37	11,69	1	2022-07-13 08:46:08.470
878084	23208	54319	37	11,68	1	2022-07-13 08:46:08.970
878085	23208	54319	38	11,52	1	2022-07-13 08:46:13.530
878086	23208	54319	37	8,8	1	2022-07-13 08:46:18.547
878087	23208	54319	37	5,62	1	2022-07-13 08:46:23.547
878088	23208	54319	37	4,19	1	2022-07-13 08:46:28.580
878089	23208	54319	37	4,18	1	2022-07-13 08:46:33.593
878090	23208	54319	38	4,86	1	2022-07-13 08:46:38.627
878091	23208	54319	37	5,29	1	2022-07-13 08:46:43.640
878092	23208	54319	37	5,36	1	2022-07-13 08:46:48.720
878093	23208	54319	37	5,36	1	2022-07-13 08:46:53.940
878094	23208	54319	38	5,27	0	2022-07-13 08:47:01.923
878095	23208	54319	37	5,25	1	2022-07-13 08:47:03.800
878096	23208	54319	37	5,31	0	2022-07-13 08:47:12.300
878097	23208	54319	37	5,27	0	2022-07-13 08:47:13.830
878098	23208	54319	37	5,23	0	2022-07-13 08:47:20.143
878099	23208	54319	37	5,3	1	2022-07-13 08:47:26.160
878100	23208	54319	37	5,32	1	2022-07-13 08:47:47.110
878101	23208	54319	37	5,3	1	2022-07-13 08:47:47.127
878102	23208	54319	37	5,29	1	2022-07-13 08:47:47.127
878103	23208	54319	37	5,29	0	2022-07-13 08:47:47.143
878104	23208	54319	37	5,25	1	2022-07-13 08:47:48.987
878105	23208	54319	37	5,39	0	2022-07-13 08:47:53.987
878106	23208	54319	37	5,3	1	2022-07-13 08:47:59.020
878107	23208	54319	37	5,32	0	2022-07-13 08:48:04.050
878108	23208	54319	37	5,3	1	2022-07-13 08:48:09.067
878109	23208	54319	37	5,3	0	2022-07-13 08:48:14.097
878110	23208	54319	37	5,28	0	2022-07-13 08:48:19.113
878111	23208	54319	37	5,32	0	2022-07-13 08:48:24.143
878112	23208	54319	38	5,27	0	2022-07-13 08:48:29.160
878113	23208	54319	37	5,27	0	2022-07-13 08:48:34.190
878114	23208	54319	37	5,36	0	2022-07-13 08:48:39.223
878115	23208	54319	37	5,33	1	2022-07-13 08:48:44.240
